feature	fd1f9e9e993e374d3a40f750a85dfa6e	X99bccd58aaeb00f98e22add40be6e36b	X6420671c26eef32065e0275c8cd6701e	f864ed2c52dd0ee16ed932d4c4c166de	b4f28264f150902936030ef29ce2a10a	X9b6acfb0708fe91f75081d6801659932	X5cb0182033909c6dea7fc6cb598436a5	e93b313352019b8113e7fc66bf757917	X9ee9d7f1e7a96963f1ee2668f858fced	b407c0316dbd17ba50708ee7a6bb48e6	e23db0927268e80a7bc629e7793e11d4	X55b7688dfd42d9b2545d67bb5b0f086c	X1569f7ae988e26c905ab8fab427c8a0d	X08a0cf376add32f3f4b57ec1e82a7a27	be22632d5e3f6175707a3213d7a90ad2	b6ecd20f301035741915d6c32bda2410	eafd20ce1f25fbd8c737f0086f81c11b	X44158349d8858abc6c04aada0c131da5	X4b7712254e4dd8d5bc585d4a6c5c2e88	d114fb4c335125128be28401522dd41a	fd496fd32dc8c08ade2e8b6c9d8ee13d	ee6b0302402ac29fe5a19e51672a3283	X302d0c312461ee75b22821e954f88ba9	X1a65b568a8cbab6afc60587b3a3562c3	a92e27080262556ed1c060b8411141f6	X799b4308ac6b3570302274b3843bbbba	X573a1b003a4f1a5c8da6c21d22650fb2	X89f8b6cf08a9c941be608629f1287d09	X6be00ecd6672ff69a6afcffc4c0ea0e2	c1624e84b1704a8e5f5f2a41d8737493	X16294d1e7cbbbf2f60c486bd6b193b90	d71658ca9c27d685841dfca61823eb95	X2b1619989536df3d37e221dcc84ba7bc	X959aeca1a65ce24599aaed29828c33f0	a83d067822df1efdda6e0848ca920d14	f22e4f0d218aa62ff1ca039104d15a68	X17b8cbca2743de33484d559e0bf12cc9	X8feccd7313bcb9c4ded7d044b77ea1af	X6feb7dcd3b2f67420b420039a234198e	X168dc8cb9285963c9ab81ea2875b5d98	f180ce7374201d84cccd514044fc1f99	d611e03044e800bf023cfc92bec2106a	a730ef0685ea600be854be1842a6b362	e51fc3bc6d08ae82b3299bff3739b1f6	X58da6988f3a0fae09c061e9775e35980	f934328f40dd0490f0ba1e8b34dff01e	cc1c1f8febcd19956e4fe51b367672fb	e4d7ec116468af7a897667872f28e30d	X9772f92f79ea8b9d8fcddf2410e06802	X6726c2626997de6acc25552de5f09d82	X970b8c4828f3cc86fab57e48bb8fad63	X7c3550e521d8dd035366eac5c64f2e47	b7d000a0302fb186f0c0d3ed19e7fc1f	X6ab475426af806ca2528a3b20d77cde8	X629f41c0de31ba20f5d2b3f4c69e09c1	X72bf6f8e32de3042bcea08f2a8fffae0	X35195a80f6fb69ef8bd6827d1b045aad	de7606f9f340dfe3787aad590dc88e9e	X5f8d35126b0a7321413d21487ec72b73	X419af6db3c0709d63ffc1933ab11b24c	X2fb5a4a7d5e419920ec9257327a118ca	X8e493df449e84acb4e24f5811ff3599b	a663a01aeb4dbb88bbe0a9840e8f64dc	X533b6c05a74b2c25a94f884d6fe42f9d	e865f29a716e8d51f83931befa951240	X743f7360159fe13c57904b195e80859f	c16dcac354d2cf6baf9294c744a1ebe5	d60b96014cef09d74aaa2fa1fbc9f3ac	X7c3d7711fd15460714ece118b35c0576	f5d95230ea5c7be589ebfb2654751f6a	X3578cafb57e4b2ca4748b46cf444ac12	X12427d591e0e9445da48e730b2db3b9a	c8b4d41f5529f56772e9988166516372	X255d3e378354ea91e18121d620d94e79	b7a1c874d8d176c53435ea5b3fd10286	X55beed6d1a19ce34788b66488ffe3917	dde9400c29c51f5923cda7253649204b	X0c053c38cdbe319bdd539363e59dcc31	X286cdd25e778d56bcb2d8fe45c803961	X8ca8266de22f80a38cc348f66f911331	X0f94d5594dec0e0879f3da115d859f2c	d00a3564e47e0d67440f9a4c47307f59	X693de09a317c267d5af55841893aec6e	bbbf807fccaf8b5896d4eb82f2ca7cb6	X9f13b19008d5919b2d49905d2ca06b99	db707b4e4367788f6f0f53525b62c61d	df192232ea85bc2f6a3adcadaa22b4e3	bc9f5044e47b189552e9b5746eccd751	X031b77a75bff7a6723d26e7e2fee4609	ce6b1ca94056d100a1df87a6ed7a90bc	X77179c914d854ab269c8f9ae2e709647	X24ac1cbe3fb5bb0861a7639da9aa87f4	X7c2872d44cd07d6000ee0ee0c689d778	X3955aedaf9628d8081af01e5708cc9d3	X1d8b84a03912257db768016645b454a9	f61299313ce0559d2a53d6b9a43edecf	abca3120681f80e5a837b07d3c11056e	X6facdf45c29be6603b1ecd81fe753105	d36c7fad0a492ec8635894778c85d7c5	X6e2d800e4a8396f0f698ad0060b1e90b	X78f454d600bcc8b21d364dce8d58cf4e	babd95935bd068424c6c2dc26382ece0	fdd1c7df7465312a55da2edab91d6ae3	X5959ef7d798c80eafd917b45eb54f1c0
X11402.MC033.fastq.gz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	3	0	0	824	0	0	21	802	0	8	0	0	0	0	0	0	0	0	51	62	0	0	19747	0	0	0	0	0	0	567	10	0	0	0	2309	690	0	29	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X11402.MC039.fastq.gz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2025	0	6822	0	15	0	4	0	0	0	0	0	0	25	0	46	91	20	0	19858	0	0	0	0	0	0	0	0	40	14	0	177	1306	0	0	0	108	0	0	0	0	6	6	775	0	89	58	0	0	0	350	215	0	0	0	0	0	0	0	0	0	0	0	0	54	0	346	0	0	0	1221	0	0	57	0	0	0	0	0	0	0	0	51	0
X11402.MC055.fastq.gz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	986	0	0	85	88	5	105	0	0	0	0	0	0	0	0	180	55	42	0	31050	0	0	0	0	0	0	7	0	2	44	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
X11402.MC056.fastq.gz	0	0	53	0	0	0	0	3	0	0	17	142	0	84	138	0	9	9	0	0	3088	0	396	30	16	0	12	167	0	0	0	3	0	20	0	283	66	7	4	17992	0	0	0	0	0	0	1930	0	0	4	0	534	8	0	23	0	265	2	14	0	5	3	152	0	0	0	0	24	0	0	1752	2681	0	0	0	0	6	0	133	0	0	0	0	0	402	182	3452	0	0	0	2066	31	0	109	0	0	34	48	0	0	0	0	282	0
X11402.MC057.fastq.gz	0	0	4	2	2	0	0	0	0	3	0	0	0	0	89	0	391	146	38	440	608	3	1219	16	31	0	5	0	0	54	0	77	0	0	0	515	20	0	0	9485	7	0	0	0	0	0	7696	163	0	0	0	896	44	0	36	0	0	0	19	0	0	0	220	0	0	21	0	235	0	0	1299	3833	0	0	0	0	0	0	78	8	4	0	0	0	1207	345	1292	0	0	0	3514	5	0	0	0	0	117	0	0	0	0	64	160	0
X11402.MC059.fastq.gz	0	0	126	0	0	0	5	0	0	0	52	0	0	74	381	0	6	0	15	12	278	8	23	3	15	0	3	26	36	0	0	19	0	7	0	2142	25	7	0	132	0	0	125	0	0	73	4479	12	865	12	0	0	0	0	34	10	103	0	127	0	45	7	400	0	1345	6	0	83	7	129	0	1107	4	72	158	6	311	5	161	81	189	0	338	602	5631	461	1051	0	0	64	2161	930	38	1518	1803	224	0	291	0	17	670	4	285	0
X11402.MC061.fastq.gz	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	77	11481	355	2647	0	96	0	9	0	0	0	0	0	0	19	0	2565	13	13	7	11779	0	0	0	0	0	0	6	0	0	0	0	0	320	0	0	0	0	0	30	0	0	0	208	0	0	707	20	0	0	0	1167	1138	0	0	0	0	0	0	0	0	0	0	0	68	0	778	446	0	12	0	837	399	0	6	2	14	0	0	0	0	0	12	0	0
X11402.MC063.fastq.gz	0	0	0	3	0	47	0	0	0	0	0	0	0	17	12	0	10	0	0	0	168	0	8461	0	0	0	2	101	0	0	0	0	7	5	0	10	14	0	0	4305	16	0	0	0	6	0	59	0	364	0	23	4	105	6	5	0	80	0	0	10	0	0	7	9	1914	0	513	38	0	0	1319	214	0	276	88	0	0	0	0	0	380	5	0	737	1224	0	1071	0	0	0	1823	375	0	288	180	75	120	11	0	6	33	0	31	0
X11402.MC065.fastq.gz	0	0	7	0	0	0	0	0	0	4	19	0	5	1011	0	0	5	0	75	0	126	0	0	26	40	0	13	113	21	4	0	13	0	5	0	1074	32	5	0	550	20	0	28	12	10	5	5951	130	0	6	0	0	193	0	6	0	0	0	9	0	0	3	282	0	5338	0	11	11	10	0	9021	407	0	0	0	0	53	0	13	0	0	0	0	23	54	232	58	0	0	15	905	0	0	2248	0	4	0	31	0	0	0	127	119	0
X11402.MC066.fastq.gz	0	146	35	0	0	0	0	4	0	0	0	0	0	0	0	0	11	220	0	0	644	126	2668	28	1095	6	6	0	0	0	0	0	0	0	0	327	47	7	0	15488	2	0	0	0	0	0	609	0	0	4	0	0	0	0	49	0	0	0	391	0	0	0	352	0	0	30	0	39	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2762	25	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	114	0
