feature	fd1f9e9e993e374d3a40f750a85dfa6e	X99bccd58aaeb00f98e22add40be6e36b	X6420671c26eef32065e0275c8cd6701e	f864ed2c52dd0ee16ed932d4c4c166de	b4f28264f150902936030ef29ce2a10a	X9b6acfb0708fe91f75081d6801659932	X5cb0182033909c6dea7fc6cb598436a5	e93b313352019b8113e7fc66bf757917	X9ee9d7f1e7a96963f1ee2668f858fced	b407c0316dbd17ba50708ee7a6bb48e6	e23db0927268e80a7bc629e7793e11d4	X55b7688dfd42d9b2545d67bb5b0f086c	X1569f7ae988e26c905ab8fab427c8a0d	X08a0cf376add32f3f4b57ec1e82a7a27	be22632d5e3f6175707a3213d7a90ad2	b6ecd20f301035741915d6c32bda2410	eafd20ce1f25fbd8c737f0086f81c11b	X44158349d8858abc6c04aada0c131da5	X4b7712254e4dd8d5bc585d4a6c5c2e88	d114fb4c335125128be28401522dd41a	fd496fd32dc8c08ade2e8b6c9d8ee13d	ee6b0302402ac29fe5a19e51672a3283	X302d0c312461ee75b22821e954f88ba9	X1a65b568a8cbab6afc60587b3a3562c3	a92e27080262556ed1c060b8411141f6	X799b4308ac6b3570302274b3843bbbba	X573a1b003a4f1a5c8da6c21d22650fb2	X89f8b6cf08a9c941be608629f1287d09	X6be00ecd6672ff69a6afcffc4c0ea0e2	c1624e84b1704a8e5f5f2a41d8737493	X16294d1e7cbbbf2f60c486bd6b193b90	d71658ca9c27d685841dfca61823eb95	X2b1619989536df3d37e221dcc84ba7bc	X959aeca1a65ce24599aaed29828c33f0	a83d067822df1efdda6e0848ca920d14	f22e4f0d218aa62ff1ca039104d15a68	X17b8cbca2743de33484d559e0bf12cc9	X8feccd7313bcb9c4ded7d044b77ea1af	X6feb7dcd3b2f67420b420039a234198e	X168dc8cb9285963c9ab81ea2875b5d98	f180ce7374201d84cccd514044fc1f99	d611e03044e800bf023cfc92bec2106a	a730ef0685ea600be854be1842a6b362	e51fc3bc6d08ae82b3299bff3739b1f6	X58da6988f3a0fae09c061e9775e35980	f934328f40dd0490f0ba1e8b34dff01e	cc1c1f8febcd19956e4fe51b367672fb	e4d7ec116468af7a897667872f28e30d	X9772f92f79ea8b9d8fcddf2410e06802	X6726c2626997de6acc25552de5f09d82	X970b8c4828f3cc86fab57e48bb8fad63	X7c3550e521d8dd035366eac5c64f2e47	b7d000a0302fb186f0c0d3ed19e7fc1f	X6ab475426af806ca2528a3b20d77cde8	X629f41c0de31ba20f5d2b3f4c69e09c1	X72bf6f8e32de3042bcea08f2a8fffae0	X35195a80f6fb69ef8bd6827d1b045aad	de7606f9f340dfe3787aad590dc88e9e	X5f8d35126b0a7321413d21487ec72b73	X419af6db3c0709d63ffc1933ab11b24c	X2fb5a4a7d5e419920ec9257327a118ca	X8e493df449e84acb4e24f5811ff3599b	a663a01aeb4dbb88bbe0a9840e8f64dc	X533b6c05a74b2c25a94f884d6fe42f9d	e865f29a716e8d51f83931befa951240	X743f7360159fe13c57904b195e80859f	c16dcac354d2cf6baf9294c744a1ebe5	d60b96014cef09d74aaa2fa1fbc9f3ac	X7c3d7711fd15460714ece118b35c0576	f5d95230ea5c7be589ebfb2654751f6a	X3578cafb57e4b2ca4748b46cf444ac12	X12427d591e0e9445da48e730b2db3b9a	c8b4d41f5529f56772e9988166516372	X255d3e378354ea91e18121d620d94e79	b7a1c874d8d176c53435ea5b3fd10286	X55beed6d1a19ce34788b66488ffe3917	dde9400c29c51f5923cda7253649204b	X0c053c38cdbe319bdd539363e59dcc31	X286cdd25e778d56bcb2d8fe45c803961	X8ca8266de22f80a38cc348f66f911331	X0f94d5594dec0e0879f3da115d859f2c	d00a3564e47e0d67440f9a4c47307f59	X693de09a317c267d5af55841893aec6e	bbbf807fccaf8b5896d4eb82f2ca7cb6	X9f13b19008d5919b2d49905d2ca06b99	db707b4e4367788f6f0f53525b62c61d	df192232ea85bc2f6a3adcadaa22b4e3	bc9f5044e47b189552e9b5746eccd751	X031b77a75bff7a6723d26e7e2fee4609	ce6b1ca94056d100a1df87a6ed7a90bc	X77179c914d854ab269c8f9ae2e709647	X24ac1cbe3fb5bb0861a7639da9aa87f4	X7c2872d44cd07d6000ee0ee0c689d778	X3955aedaf9628d8081af01e5708cc9d3	X1d8b84a03912257db768016645b454a9	f61299313ce0559d2a53d6b9a43edecf	abca3120681f80e5a837b07d3c11056e	X6facdf45c29be6603b1ecd81fe753105	d36c7fad0a492ec8635894778c85d7c5	X6e2d800e4a8396f0f698ad0060b1e90b	X78f454d600bcc8b21d364dce8d58cf4e	babd95935bd068424c6c2dc26382ece0	fdd1c7df7465312a55da2edab91d6ae3	X5959ef7d798c80eafd917b45eb54f1c0
X11402.MC033.fastq.gz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00733851346048191	0.000117730162467624	0	0	0.0323365512911074	0	0	0.000824111137273369	0.0314731967663449	0	0.000313947099913665	0	0	0	0	0	0	0	0	0.00200141276194961	0.0024330900243309	0	0	0.774939172749392	0	0	0	0	0	0	0.022251000706381	0.000392433874892081	0	0	0	0.0906129817125814	0.0270779373675536	0	0.00113805823718703	0	0	0	0	0	0	0	0.00278628051173377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00396358213641001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X11402.MC039.fastq.gz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118402746943729	0	0	0	0.0599413906402629	0	0.20193588491253	0	0.000444010301038984	0	0.000118402746943729	0	0	0	0	0	0	0.000740017168398307	0	0.00136163158985288	0.00269366249296984	0.000592013734718645	0	0.587810437202143	0	0	0	0	0	0	0	0	0.00118402746943729	0.000414409614303052	0	0.00523932155226001	0.0386584968771276	0	0	0	0.00319687416748069	0	0	0	0	0.000177604120415594	0.000177604120415594	0.0229405322203475	0	0.00263446111949797	0.00171683983068407	0	0	0	0.0103602403575763	0.00636414764822544	0	0	0	0	0	0	0	0	0	0	0	0	0.00159843708374034	0	0.0102418376106326	0	0	0	0.0361424385045733	0	0	0.00168723914394814	0	0	0	0	0	0	0	0	0.00150963502353255	0
X11402.MC055.fastq.gz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00113129089463707	0	0	0	0.0301473735705987	0	0	0.00259891151470678	0.00269063780346114	0.000152877147923928	0.0032104201064025	0	0	0	0	0	0	0	0	0.00550357732526142	0.00168164862716321	0.001284168042561	0	0.949367088607595	0	0	0	0	0	0	0.0002140280070935	0	6.11508591695713e-05	0.00134531890173057	0	0	0	0	0	0	0	0	0	0	0	9.1726288754357e-05	0	0	0	0	0	0	0	0	9.1726288754357e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122301718339143	0	0	0	0	0.000305754295847857	0	0	0	0	0	0	0	0	0	0	0	0	0
X11402.MC056.fastq.gz	0	0	0.00144488972492571	0	0	0	0	8.17862108448516e-05	0	0	0.000463455194787492	0.00387121397998964	0	0.00229001390365584	0.00376216569886317	0	0.000245358632534555	0.000245358632534555	0	0	0.0841852730296339	0	0.0107957798315204	0.000817862108448516	0.000436193124505875	0	0.000327144843379406	0.00455276573703007	0	0	0	8.17862108448516e-05	0	0.000545241405632344	0	0.00771516588969766	0.00179929663858673	0.00019083449197132	0.000109048281126469	0.490499168506856	0	0	0	0	0	0	0.0526157956435212	0	0	0.000109048281126469	0	0.0145579455303836	0.000218096562252937	0	0.000627027616477195	0	0.00722444862462855	5.45241405632344e-05	0.000381668983942641	0	0.000136310351408086	8.17862108448516e-05	0.00414383468280581	0	0	0	0	0.000654289686758812	0	0	0.0477631471333933	0.0730896104250157	0	0	0	0	0.000163572421689703	0	0.00362585534745509	0	0	0	0	0	0.0109593522532101	0.00496169679125433	0.0941086666121425	0	0	0	0.0563234372018211	0.000845124178730133	0	0.00297156566069627	0	0	0.000926910389574984	0.00130857937351762	0	0	0	0	0.00768790381941605	0
X11402.MC057.fastq.gz	0	0	0.000116241899392636	5.8120949696318e-05	5.8120949696318e-05	0	0	0	0	8.7181424544477e-05	0	0	0	0	0.00258638226148615	0	0.0113626456656302	0.00424282932783122	0.00110429804423004	0.01278660893319	0.0176687687076807	8.7181424544477e-05	0.0354247188399058	0.000464967597570544	0.00090087472029293	0	0.000145302374240795	0	0	0.00156926564180059	0	0.00223765656330824	0	0	0	0.0149661445468019	0.00058120949696318	0	0	0.275638603934788	0.000203423323937113	0	0	0	0	0	0.223649414431432	0.00473685740024992	0	0	0	0.0260381854639505	0.001278660893319	0	0.00104617709453372	0	0	0	0.000552149022115021	0	0	0	0.00639330446659498	0	0	0.000610269971811339	0	0.00682921158931737	0	0	0.0377495568277586	0.111388800092994	0	0	0	0	0	0	0.0022667170381564	0.000232483798785272	0.000116241899392636	0	0	0	0.0350759931417279	0.0100258638226149	0.0375461335038215	0	0	0	0.102118508616431	0.000145302374240795	0	0	0	0	0.0034000755572346	0	0	0	0	0.00185987039028218	0.00464967597570544	0
X11402.MC059.fastq.gz	0	0	0.00428003668602874	0	0	0	0.000169842725636061	0	0	0	0.00176636434661503	0	0	0.0025136723394137	0.0129420156934678	0	0.000203811270763273	0	0.000509528176908183	0.000407622541526546	0.00944325554536499	0.000271748361017698	0.000781276537925881	0.000101905635381637	0.000509528176908183	0	0.000101905635381637	0.000883182173307517	0.00122286762457964	0	0	0.000645402357417032	0	0.000237779815890485	0	0.0727606236624885	0.000849213628180305	0.000237779815890485	0	0.00448384795679201	0	0	0.00424606814090153	0	0	0.00247970379428649	0.152145113624783	0.000407622541526546	0.0293827915350386	0.000407622541526546	0	0	0	0	0.00115493053432521	0.000339685451272122	0.00349876014810286	0	0.00431400523115595	0	0.00152858453072455	0.000237779815890485	0.0135874180508849	0	0.0456876931961004	0.000203811270763273	0	0.00281938924555861	0.000237779815890485	0.00438194232141037	0	0.0376031794558239	0.000135874180508849	0.00244573524915928	0.00536703013009953	0.000203811270763273	0.010564217534563	0.000169842725636061	0.00546893576548116	0.00275145215530419	0.00642005502904311	0	0.0114813682529977	0.0204490641665817	0.191276877611332	0.0156594993036448	0.0357009409287	0	0	0.00217398688814158	0.0734060260199056	0.0315907469683073	0.00129080471483406	0.0515642515031081	0.0612452868643636	0.00760895410849553	0	0.00988484663201875	0	0.000577465267162607	0.0227589252352322	0.000135874180508849	0.00968103536125548	0
X11402.MC061.fastq.gz	0	0	0.00226321149711441	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104673531741541	0	0	0.00217834106597262	0.324799139979631	0.0100430010184452	0.0748840104107729	0	0.00271585379653729	0	0.000254611293425371	0	0	0	0	0	0	0.000537512730564671	0	0.0725642186262306	0.000367771868281091	0.000367771868281091	0.00019803100599751	0.333229602806382	0	0	0	0	0	0	0.00016974086228358	0	0	0	0	0	0.00905284598845762	0	0	0	0	0	0.000848704311417902	0	0	0	0.00588434989249745	0	0	0.0200011316057486	0.000565802874278601	0	0	0	0.0330145977141564	0.0321941835464524	0	0	0	0	0	0	0	0	0	0	0	0.00192372977254724	0	0.0220097318094376	0.0126174040964128	0	0.000339481724567161	0	0.0236788502885595	0.0112877673418581	0	0.00016974086228358	5.65802874278601e-05	0.000396062011995021	0	0	0	0	0	0.000339481724567161	0	0
X11402.MC063.fastq.gz	0	0	0	0.00012206534564837	0	0.00191235708182447	0	0	0	0	0	0	0	0.000691703625340766	0.000488261382593482	0	0.000406884485494568	0	0	0	0.00683565935630874	0	0.344264963176954	0	0	0	8.13768970989136e-05	0.00410953330349514	0	0	0	0	0.000284819139846198	0.000203442242747284	0	0.000406884485494568	0.000569638279692395	0	0	0.175163771005412	0.000651015176791309	0	0	0	0.000244130691296741	0	0.00240061846441795	0	0.0148105952720023	0	0.000935834316637507	0.000162753794197827	0.00427228709769297	0.000244130691296741	0.000203442242747284	0	0.00325507588395654	0	0	0.000406884485494568	0	0	0.000284819139846198	0.000366196036945111	0.0778776905236603	0	0.0208731741058713	0.00154616104487936	0	0	0.0536680636367335	0.00870732798958376	0	0.0112300117996501	0.0035805834723522	0	0	0	0	0	0.0154616104487936	0.000203442242747284	0	0.0299873865809497	0.0498026610245351	0	0.0435773283964682	0	0	0	0.0741750417056598	0.0152581682060463	0	0.0117182731822436	0.00732392073890223	0.00305163364120926	0.00488261382593482	0.000447572934044025	0	0.000244130691296741	0.00134271880213207	0	0.00126134190503316	0
X11402.MC065.fastq.gz	0	0	0.000245760629147211	0	0	0	0	0	0	0.000140434645226977	0.000667064564828143	0	0.000175543306533722	0.0354948565811186	0	0	0.000175543306533722	0	0.00263314959800583	0	0.00442369132464979	0	0	0.000912825193975354	0.00140434645226977	0	0.000456412596987677	0.00396727872766211	0.000737281887441632	0.000140434645226977	0	0.000456412596987677	0	0.000175543306533722	0	0.0377067022434435	0.00112347716181582	0.000175543306533722	0	0.0193097637187094	0.000702173226134887	0	0.000983042516588842	0.000421303935680932	0.000351086613067444	0.000175543306533722	0.208931643436436	0.00456412596987677	0	0.000210651967840466	0	0	0.00677597163220166	0	0.000210651967840466	0	0	0	0.000315977951760699	0	0	0.000105325983920233	0.00990064248850191	0	0.187410034055401	0	0.000386195274374188	0.000386195274374188	0.000351086613067444	0	0.316715233648141	0.014289225151845	0	0	0	0	0.00186075904925745	0	0.000456412596987677	0	0	0	0	0.000807499210055121	0.0018958677105642	0.0081452094231647	0.00203630235579117	0	0	0.000526629919601166	0.0317733384826037	0	0	0.0789242706175614	0	0.000140434645226977	0	0.00108836850050908	0	0	0	0.00445879998595654	0.00417793069550258	0
X11402.MC066.fastq.gz	0	0.0057432831123874	0.0013768144447504	0	0	0	0	0.000157350222257189	0	0	0	0	0	0	0	0	0.00043271311120727	0.00865426222414539	0	0	0.0253333857834074	0.00495653200110145	0.104952598245545	0.00110145155580032	0.0430746233429055	0.000236025333385783	0.000236025333385783	0	0	0	0	0	0	0	0	0.0128633806695252	0.00184886511152197	0.000275362888950081	0	0.609260060579836	7.86751111285945e-05	0	0	0	0	0	0.023956571338657	0	0	0.000157350222257189	0	0	0	0	0.00192754022265056	0	0	0	0.0153809842256402	0	0	0	0.0138468195586326	0	0	0.00118012666692892	0	0.00153416466700759	0	0	0	0	0	0	0	0	0	0	0.000118012666692892	0	0	0	0	0	0	0.108650328468589	0.000983438889107431	0	0	0	0	0	0	0.00719877266826639	0	0	0	0	0	0	0	0	0.00448448133432988	0
